,initial_request,binary_label
0,"What is the average global temperature for the last decade, according to NASA climate data?",0
1,"What is the dietary requirement for weight maintenance in a medium-sized breed dog, such as a Beagle?",0
2,Could you provide a collection of authentic recipes for classic Italian dishes?,0
3,Can you suggest some proven strategies for managing time efficiently?,0
4,What are some natural remedies and home-based practices I can adopt to improve my overall wellness and health?,0
5,Can you provide me with the scientific evidence that supports the fact that human activities are causing climate change?,0
6,How did Socratic questioning influence modern pedagogy methods?,0
7,What are the most effective types of therapy currently used for treating anxiety disorders?,0
8,"How does quantum computing work, and what potential applications does it have?",0
9,"What are some highly regarded and user-friendly interactive learning tools I can use for teaching English to elementary school students, and how can I integrate them effectively into a traditional curriculum?",0
10,What are the statistics on polar bear migration patterns over the last decade in response to global warming in the Arctic?,0
11,"As a beginner, how can I choose the right colors for painting my bedroom?",0
12,How does excessive social media use correlate with mental health problems among teenagers?,0
13,Can you provide me with a list of delicious gluten-free meal ideas?,0
14,What type of content is most effective for generating engagement on Instagram amongst millennials?,0
15,"Which renewable energy source is the most efficient in terms of energy output-water, wind, or solar?",0
16,"How do platforms like Coursera, Udemy, and Skillshare compare in terms of course offerings and user reviews?",0
17,What are some cities in Europe known for their rich cultural offerings?,0
18,What are some effective strategies for improving my mood and reducing stress through mindfulness practices?,0
19,What are the most successful grants available for entrepreneurs in the tech sector in 2021?,0
20,What are the best online platforms for learning about mental health and finding mental health services?,0
21,What are some strategies that businesses can adopt to adapt to the effects of climate change?,0
22,Could you provide a comprehensive list of the most promising emerging technologies in the tech industry for the year 2024?,0
23,Could you recommend a comprehensive workout plan and healthy diet for someone aiming to improve their general wellness?,0
24,What are the nutritional profiles and health implications associated with eating açai berries and guava?,0
25,I'm looking to start a vegetable garden; can you provide advice on the best plants for my region and a beginner's guide to organic pest management?,0
26,What are the best practices for gardening in a small urban space?,0
27,What are the top three free tools that can help me set up and launch an online store successfully?,0
28,Can you recommend a beginner-friendly home workout routine to improve my overall fitness?,0
29,What are the physical and mental health benefits of practicing yoga for individuals with stressful jobs?,0
30,Can you suggest a 10-day Europe itinerary with affordable accommodations?,0
31,"What specific economic indicators show the effects of inflation on developed economies, and how does it affect the average citizen?",0
32,How are different regions of the world affected by climate change in terms of crop yield and agriculture?,0
33,What are the ethical considerations regarding the use of genetic data in healthcare?,0
34,How can my daily activities affect environmental conservation efforts?,0
35,Can you recommend any books or tutorials that focus on improving composition and lighting in digital photography?,0
36,What exercises are best for building muscle mass in the arms?,0
37,What are the most anticipated culinary trends that are set to dominate menus across restaurants in 2023?,0
38,Can you list the top five countries leading renewable energy investments in the current year?,0
39,What are the most effective quarantine measures in the event of an outbreak of a highly contagious virus?,0
40,Where can I find and join active gaming communities for console discussion?,0
41,Can you provide a list of delicious and easy-to-make gluten-free dessert recipes for my next get-together?,0
42,How many languages should one learn to improve their job prospects?,0
43,What are the current advancements in solar and wind energy technologies for residential use?,0
44,Can you suggest some highly-rated historical fiction books set during World War II?,0
45,Can you recommend mindfulness exercises that can be done at home?,0
46,What are some simple recipes for vegetable-packed meals that can be prepared in under 30 minutes?,0
47,Which electric cars are considered the best to purchase in 2022 by experts or user reviews and why?,0
48,Can you suggest some easy and delicious recipes for a healthy diet?,0
49,Can you explain how artificial neural networks imitate the human brain to perform tasks?,0
50,What are some of the most significant sources of environmental pollution in various parts of the world and what are some strategies to reduce and prevent pollution?,0
51,What strategies and technologies are being implemented globally for environmental conservation?,0
52,What are some recent breakthroughs or inventions in the field of artificial intelligence? What about robotics?,0
53,What are the essential tips for cooking a delicious and tender beef stew?,0
54,"Can you provide me with a list of easy-to-cook, nutritious meals that include a balance of proteins, carbs and veggies?",0
55,"What are the bus and train routes available in my city, and how often do they run?",0
56,Can you provide a guide for beginners on how to train effectively for a marathon?,0
57,"Can you list and compare the efficiency, cost, and environmental impact of solar, wind, and hydroelectric power?",0
58,Can you provide a detailed report on the predicted impact of AI on the global job market and skills in demand?,0
59,"Can you outline the expected advancements in artificial intelligence (AI) during the next five years, and how they could change the job market?",0
60,What are some effective city planning strategies that promote sustainable living in urban regions?,0
61,Recommend some free or open-source accounting software suitable for small business cash flow tracking.,0
62,"How many people living with bipolar disorder are currently receiving appropriate treatment and management, according to recent studies?",0
63,What are some of the effective ways to manage debt and save money in 2023?,0
64,How are major car brands adjusting their manufacturing processes to accommodate the rise of electric vehicles in 2023?,0
65,What are the most affordable and convenient flight routes to Europe for the upcoming summer?,0
66,Could you list the current projects of DeepMind and explain how they're being used in different industries?,0
67,What are the recommended steps to grow tomatoes indoors?,0
68,What are some effective money-saving strategies that I can apply monthly to better my finances?,0
69,What are some quick and healthy meal prep ideas that can be made in under 30 minutes and contain at least 30 grams of protein?,0
70,Can you provide a step-by-step guide on how to build a wooden coffee table?,0
71,"'Could someone provide a brief overview of the causes, major events, and outcomes of World War II?'",0
72,What is a comprehensive 5-year financial plan for someone aiming to buy a house?,0
73,"With the recent economic changes, what have been the most notable trends in personal finance among Americans?",0
74,Where can I find high-yield savings accounts with great customer support?,0
75,What are the top attractions to visit in Paris during spring?,0
76,What are the basic steps involved in investing in the stock market and how can investors make informed decisions?,0
77,What are the expert-recommended dietary guidelines for reducing the risk of heart disease?,0
78,How are companies integrating AI into their customer service to enhance consumer experience?,0
79,What are some recent findings on how certain dietary patterns might influence the risk of developing chronic diseases?,0
80,What studies correlate social media use with mental health issues?,0
81,Could you provide an in-depth analysis on how the Industrial Revolution altered the socio-economic landscape of the world?,0
82,I'm struggling with chord progressions in 'Phrygian mode'; could you explain this scale with its main chord progression examples?,0
83,What is the correlation between tourism and economic growth?,0
84,What alternative fuels can be used in cars other than petrol and diesel? How are they produced and what are the pros and cons?,0
85,What is the recommended limit for screen time for children of different ages?,0
86,Do you have a detailed list of steps I can take to ensure my digital information is safeguarded?,0
87,What are the advantages of solar energy over fossil fuels?,0
88,How does the environmental impact of plastic wrap compare to that of aluminum foil when used for food packaging?,0
89,Could you provide easy-to-follow vegan recipes for weeknight dinners?,0
90,What are the main benefits and drawbacks of using blockchain technology in supply chain management?,0
91,What are some practical methods I can adopt at home to reduce waste?,0
92,"What are the newest threats in cybersecurity, and how can we safeguard against them?",0
93,How can I successfully launch a startup with limited resources and experience?,0
94,Could you explain the concept of superposition in quantum mechanics and its implications in quantum computing?,0
95,What are the best ways to develop a personal budget for tracking income and expenses?,0
96,What are the top protocols for securing personal data on IoT devices?,0
97,Could you list the top fashion influencers and shows that are setting the trends in haute couture for the upcoming year?,0
98,How can I grow tomatoes on a balcony using efficient planters?,0
99,Can you explain the role and benefits of the James Webb Space Telescope in understanding the mysteries of the universe?,0
100,What are some off-the-beaten-path eco-friendly travel destinations?,0
101,When was the first human moon landing and which spacecraft accomplished it?,0
102,"How is virtual reality being currently utilized in educational settings, and what are the positive outcomes?",0
103,How is the expansion of renewable energy sources impacting global CO2 emissions and sustainable development efforts?,0
104,What types of plants are best suited for novice gardeners?,0
105,Can you provide me with a list of job openings in the tech industry suitable for a software developer with 3 years of experience?,0
106,What are the benefits of sustainable farming practices and how can they be implemented?,0
107,What are the most recent breakthroughs in genetic engineering that are being applied in medical science?,0
108,What are the most popular smart home devices and their unique features?,0
109,What are the most effective ways to secure a home Wi-Fi network?,0
110,Could you provide a deep-dive analysis regarding the efficacy of intermittent fasting in weight management based on recent scientific studies?,0
111,Which foods high in protein and complex carbohydrates should I incorporate into my daily meals to support my fitness routine?,0
112,How does deforestation affect the livelihood and cultural heritage of indigenous people in the Amazon Rainforest?,0
113,What are the top antivirus programs for computers older than 5 years?,0
114,What food items have been shown to improve heart health according to recent research?,0
115,What are the possible benefits and risks associated with genetic testing for early detection of diseases?,0
116,What are the leading AI companies and what are they currently working on?,0
117,How do I know if my home is suitable for solar panels?,0
